Loading pytorch-gpu/py3/2.3.1
  Loading requirement: cuda/12.4.1 nccl/2.21.5-1-cuda cudnn/9.2.0.82-cuda
    gcc/11.5.0 openmpi/4.1.5-cuda intel-oneapi-mkl/2024.1 magma/2.8.0-cuda
    sox/14.4.2 hdf5/1.12.0-mpi-cuda libjpeg-turbo/2.1.3 ffmpeg/6.1.1
============================================================
[BASELINE SINGLE GPU] Array task 0 — batch size = 256
============================================================
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
⚙️ Using FACTOR: 1.0
⚙️ Device: cuda
✅ Data loaded: 70000 samples, 273 batches.
✅ Data, Model, and Optimizer initialized.
💾 Checkpoint will be saved as: flow_models/model_20260519_202540.ckpt
🔥 Starting Training for 5 epochs...
Epoch 1/5 | step 10 | batch 10/273 | loss -0.5251
Epoch 1/5 | step 20 | batch 20/273 | loss -0.6822
Epoch 1/5 | step 30 | batch 30/273 | loss -0.7898
Epoch 1/5 | step 40 | batch 40/273 | loss -0.8519
Epoch 1/5 | step 50 | batch 50/273 | loss -0.8958
Epoch 1/5 | step 60 | batch 60/273 | loss -0.9423
Epoch 1/5 | step 70 | batch 70/273 | loss -0.9407
Epoch 1/5 | step 80 | batch 80/273 | loss -0.9657
Epoch 1/5 | step 90 | batch 90/273 | loss -0.9772
Epoch 1/5 | step 100 | batch 100/273 | loss -0.9971
Epoch 1/5 | step 110 | batch 110/273 | loss -1.0171
Epoch 1/5 | step 120 | batch 120/273 | loss -1.0734
Epoch 1/5 | step 130 | batch 130/273 | loss -1.0580
Epoch 1/5 | step 140 | batch 140/273 | loss -1.1046
Epoch 1/5 | step 150 | batch 150/273 | loss -1.1334
Epoch 1/5 | step 160 | batch 160/273 | loss -1.1343
Epoch 1/5 | step 170 | batch 170/273 | loss -1.1511
Epoch 1/5 | step 180 | batch 180/273 | loss -1.1749
Epoch 1/5 | step 190 | batch 190/273 | loss -1.1806
Epoch 1/5 | step 200 | batch 200/273 | loss -1.2153
